location,station_ID,year,month,filename
Simei,84,2023,1,Simei_84_202301.csv
Sentosa Island,60,2014,5,Sentosa Island_60_201405.csv
Upper Peirce Reservoir,69,2022,3,Upper Peirce Reservoir_69_202203.csv
Tengah,23,2017,6,Tengah_23_201706.csv
Serangoon,36,2013,10,Serangoon_36_201310.csv
Upper Peirce Reservoir,69,2012,8,Upper Peirce Reservoir_69_201208.csv
Buangkok,55,2016,1,Buangkok_55_201601.csv
Jurong Island,117,2021,3,Jurong Island_117_202103.csv
Ulu Pandan,35,2015,12,Ulu Pandan_35_201512.csv
Upper Peirce Reservoir,69,2020,6,Upper Peirce Reservoir_69_202006.csv
Pulau Ubin,106,2019,7,Pulau Ubin_106_201907.csv
Jurong Island,117,2014,12,Jurong Island_117_201412.csv
Pasir Panjang,116,2023,7,Pasir Panjang_116_202307.csv
Tanjong Katong,78,2022,1,Tanjong Katong_78_202201.csv
Buangkok,55,2013,2,Buangkok_55_201302.csv
East Coast Parkway,107,2022,3,East Coast Parkway_107_202203.csv
Jurong Pier,33,2020,2,Jurong Pier_33_202002.csv
Upper Peirce Reservoir,69,2012,6,Upper Peirce Reservoir_69_201206.csv
Mandai,40,2019,10,Mandai_40_201910.csv
Pasir Ris (Central),94,2012,9,Pasir Ris (Central)_94_201209.csv
Marina Barrage,108,2022,6,Marina Barrage_108_202206.csv
Upper Peirce Reservoir,69,2013,7,Upper Peirce Reservoir_69_201307.csv
Tuas South,115,2021,8,Tuas South_115_202108.csv
Serangoon,36,2021,2,Serangoon_36_202102.csv
Serangoon,36,2021,9,Serangoon_36_202109.csv
Buona Vista,92,2012,5,Buona Vista_92_201205.csv
East Coast Parkway,107,2015,4,East Coast Parkway_107_201504.csv
Nicoll Highway,119,2021,10,Nicoll Highway_119_202110.csv
Botanic Garden,120,2015,3,Botanic Garden_120_201503.csv
Choa Chu Kang (South),121,2013,10,Choa Chu Kang (South)_121_201310.csv
Buona Vista,92,2022,12,Buona Vista_92_202212.csv
Jurong Pier,33,2022,5,Jurong Pier_33_202205.csv
Toa Payoh,88,2014,7,Toa Payoh_88_201407.csv
Changi Climate Station,24,2015,11,Changi Climate Station_24_201511.csv
Kampong Bahru,31,2015,3,Kampong Bahru_31_201503.csv
Lower Peirce Reservoir,08,2013,12,Lower Peirce Reservoir_08_201312.csv
Tai Seng,43,2020,6,Tai Seng_43_202006.csv
Pasir Panjang,116,2019,7,Pasir Panjang_116_201907.csv
Ulu Pandan,35,2012,10,Ulu Pandan_35_201210.csv
Serangoon North,110,2012,6,Serangoon North_110_201206.csv
Mandai,40,2013,11,Mandai_40_201311.csv
Pulau Ubin,106,2020,2,Pulau Ubin_106_202002.csv
Choa Chu Kang (South),121,2022,10,Choa Chu Kang (South)_121_202210.csv
Khatib,122,2014,9,Khatib_122_201409.csv
Choa Chu Kang (South),121,2017,9,Choa Chu Kang (South)_121_201709.csv
East Coast Parkway,107,2015,5,East Coast Parkway_107_201505.csv
Chai Chee,61,2019,4,Chai Chee_61_201904.csv
Simei,84,2021,10,Simei_84_202110.csv
Jurong Island,117,2018,6,Jurong Island_117_201806.csv
Jurong (West),44,2019,10,Jurong (West)_44_201910.csv
Botanic Garden,120,2014,10,Botanic Garden_120_201410.csv
Kampong Bahru,31,2013,11,Kampong Bahru_31_201311.csv
Toa Payoh,88,2014,4,Toa Payoh_88_201404.csv
Upper Peirce Reservoir,69,2019,1,Upper Peirce Reservoir_69_201901.csv
Kent Ridge,71,2014,6,Kent Ridge_71_201406.csv
Tengah,23,2012,12,Tengah_23_201212.csv
Tanjong Katong,78,2024,5,Tanjong Katong_78_202405.csv
Botanic Garden,120,2018,12,Botanic Garden_120_201812.csv
Semakau Island,102,2022,2,Semakau Island_102_202202.csv
Bukit Panjang,64,2021,12,Bukit Panjang_64_202112.csv
Lower Peirce Reservoir,08,2019,2,Lower Peirce Reservoir_08_201902.csv
Toa Payoh,88,2014,1,Toa Payoh_88_201401.csv
Boon Lay (East),86,2014,5,Boon Lay (East)_86_201405.csv
Marina Barrage,108,2012,7,Marina Barrage_108_201207.csv
Tanjong Katong,78,2022,12,Tanjong Katong_78_202212.csv
Boon Lay (West),63,2016,3,Boon Lay (West)_63_201603.csv
Clementi,50,2021,4,Clementi_50_202104.csv
Botanic Garden,120,2022,5,Botanic Garden_120_202205.csv
Choa Chu Kang (South),121,2015,8,Choa Chu Kang (South)_121_201508.csv
Bukit Panjang,64,2018,9,Bukit Panjang_64_201809.csv
Serangoon North,110,2014,2,Serangoon North_110_201402.csv
Upper Thomson,46,2016,1,Upper Thomson_46_201601.csv
Simei,84,2016,3,Simei_84_201603.csv
Kranji Reservoir,66,2020,2,Kranji Reservoir_66_202002.csv
Whampoa,123,2016,6,Whampoa_123_201606.csv
Toa Payoh,88,2023,6,Toa Payoh_88_202306.csv
Yishun,91,2017,12,Yishun_91_201712.csv
Tuas South,115,2022,1,Tuas South_115_202201.csv
Tanjong Katong,78,2020,10,Tanjong Katong_78_202010.csv
Sentosa Island,60,2014,4,Sentosa Island_60_201404.csv
Nicoll Highway,119,2018,7,Nicoll Highway_119_201807.csv
Ulu Pandan,35,2024,5,Ulu Pandan_35_202405.csv
Semakau Island,102,2022,12,Semakau Island_102_202212.csv
Buona Vista,92,2012,10,Buona Vista_92_201210.csv
Macritchie Reservoir,07,2022,10,Macritchie Reservoir_07_202210.csv
Choa Chu Kang (Central),114,2014,6,Choa Chu Kang (Central)_114_201406.csv
Macritchie Reservoir,07,2012,5,Macritchie Reservoir_07_201205.csv
Serangoon,36,2012,12,Serangoon_36_201212.csv
Lower Peirce Reservoir,08,2015,9,Lower Peirce Reservoir_08_201509.csv
Choa Chu Kang (Central),114,2015,11,Choa Chu Kang (Central)_114_201511.csv
Marine Parade,113,2024,4,Marine Parade_113_202404.csv
Tuas,89,2014,4,Tuas_89_201404.csv
Sentosa Island,60,2012,5,Sentosa Island_60_201205.csv
Newton,111,2021,6,Newton_111_202106.csv
Choa Chu Kang (South),121,2024,5,Choa Chu Kang (South)_121_202405.csv
Pulau Ubin,106,2019,1,Pulau Ubin_106_201901.csv
Khatib,122,2015,10,Khatib_122_201510.csv
Choa Chu Kang (West),11,2016,8,Choa Chu Kang (West)_11_201608.csv
Kent Ridge,71,2021,4,Kent Ridge_71_202104.csv
Jurong (West),44,2016,11,Jurong (West)_44_201611.csv
Pasir Ris (West),29,2015,1,Pasir Ris (West)_29_201501.csv
Kampong Bahru,31,2014,6,Kampong Bahru_31_201406.csv
Boon Lay (East),86,2015,3,Boon Lay (East)_86_201503.csv
Jurong Pier,33,2014,3,Jurong Pier_33_201403.csv
Tengah,23,2023,4,Tengah_23_202304.csv
Choa Chu Kang (West),11,2016,3,Choa Chu Kang (West)_11_201603.csv
Pasir Ris (West),29,2012,4,Pasir Ris (West)_29_201204.csv
Kampong Bahru,31,2016,4,Kampong Bahru_31_201604.csv
Marine Parade,113,2024,3,Marine Parade_113_202403.csv
Upper Peirce Reservoir,69,2016,9,Upper Peirce Reservoir_69_201609.csv
Lim Chu Kang,112,2023,2,Lim Chu Kang_112_202302.csv
Jurong (West),44,2020,12,Jurong (West)_44_202012.csv
Ulu Pandan,35,2022,3,Ulu Pandan_35_202203.csv
Marine Parade,113,2021,12,Marine Parade_113_202112.csv
Macritchie Reservoir,07,2016,2,Macritchie Reservoir_07_201602.csv
Jurong Pier,33,2014,5,Jurong Pier_33_201405.csv
Dhoby Ghaut,118,2017,11,Dhoby Ghaut_118_201711.csv
Pasir Ris (Central),94,2015,4,Pasir Ris (Central)_94_201504.csv
Nicoll Highway,119,2014,1,Nicoll Highway_119_201401.csv
Jurong (West),44,2012,11,Jurong (West)_44_201211.csv
Nicoll Highway,119,2017,2,Nicoll Highway_119_201702.csv
Bukit Panjang,64,2021,7,Bukit Panjang_64_202107.csv
Lim Chu Kang,112,2014,1,Lim Chu Kang_112_201401.csv
Marina Barrage,108,2021,7,Marina Barrage_108_202107.csv
Lower Peirce Reservoir,08,2021,7,Lower Peirce Reservoir_08_202107.csv
Tanjong Katong,78,2013,4,Tanjong Katong_78_201304.csv
Ulu Pandan,35,2022,12,Ulu Pandan_35_202212.csv
Sentosa Island,60,2021,3,Sentosa Island_60_202103.csv
Choa Chu Kang (Central),114,2012,1,Choa Chu Kang (Central)_114_201201.csv
Jurong Island,117,2021,12,Jurong Island_117_202112.csv
Somerset (Road),79,2022,1,Somerset (Road)_79_202201.csv
Botanic Garden,120,2022,8,Botanic Garden_120_202208.csv
Choa Chu Kang (West),11,2017,8,Choa Chu Kang (West)_11_201708.csv
Ulu Pandan,35,2019,9,Ulu Pandan_35_201909.csv
Jurong Island,117,2014,9,Jurong Island_117_201409.csv
Tanjong Katong,78,2022,2,Tanjong Katong_78_202202.csv
Marina Barrage,108,2016,3,Marina Barrage_108_201603.csv
Admiralty,104,2021,3,Admiralty_104_202103.csv
Lim Chu Kang,112,2019,3,Lim Chu Kang_112_201903.csv
Kent Ridge,71,2017,10,Kent Ridge_71_201710.csv
Mandai,40,2020,10,Mandai_40_202010.csv
Yishun,91,2017,3,Yishun_91_201703.csv
Choa Chu Kang (Central),114,2021,8,Choa Chu Kang (Central)_114_202108.csv
Jurong (East),39,2014,8,Jurong (East)_39_201408.csv
Newton,111,2014,6,Newton_111_201406.csv
Pasir Ris (Central),94,2012,4,Pasir Ris (Central)_94_201204.csv
Pasir Panjang,116,2019,5,Pasir Panjang_116_201905.csv
Simei,84,2018,1,Simei_84_201801.csv
Tuas South,115,2012,12,Tuas South_115_201212.csv
Pasir Panjang,116,2019,10,Pasir Panjang_116_201910.csv
Toa Payoh,88,2012,9,Toa Payoh_88_201209.csv
Bukit Timah,90,2013,11,Bukit Timah_90_201311.csv
Admiralty,104,2020,6,Admiralty_104_202006.csv
Botanic Garden,120,2017,4,Botanic Garden_120_201704.csv
Jurong Island,117,2021,8,Jurong Island_117_202108.csv
Punggol,81,2022,10,Punggol_81_202210.csv
Chai Chee,61,2012,4,Chai Chee_61_201204.csv
Semakau Island,102,2016,3,Semakau Island_102_201603.csv
Yishun,91,2013,5,Yishun_91_201305.csv
Dhoby Ghaut,118,2014,4,Dhoby Ghaut_118_201404.csv
Buona Vista,92,2021,1,Buona Vista_92_202101.csv
Jurong (North),101,2012,4,Jurong (North)_101_201204.csv
Admiralty,104,2019,1,Admiralty_104_201901.csv
Boon Lay (East),86,2012,1,Boon Lay (East)_86_201201.csv
Khatib,122,2019,9,Khatib_122_201909.csv
Changi Climate Station,24,2016,1,Changi Climate Station_24_201601.csv
Simei,84,2022,12,Simei_84_202212.csv
Chai Chee,61,2014,8,Chai Chee_61_201408.csv
Changi Climate Station,24,2023,6,Changi Climate Station_24_202306.csv
Yishun,91,2012,7,Yishun_91_201207.csv
Tuas,89,2018,1,Tuas_89_201801.csv
Lower Peirce Reservoir,08,2024,4,Lower Peirce Reservoir_08_202404.csv
Choa Chu Kang (Central),114,2022,6,Choa Chu Kang (Central)_114_202206.csv
Kampong Bahru,31,2013,7,Kampong Bahru_31_201307.csv
Somerset (Road),79,2016,5,Somerset (Road)_79_201605.csv
Semakau Island,102,2015,12,Semakau Island_102_201512.csv
Tanjong Katong,78,2023,7,Tanjong Katong_78_202307.csv
Somerset (Road),79,2015,9,Somerset (Road)_79_201509.csv
East Coast Parkway,107,2013,5,East Coast Parkway_107_201305.csv
Tuas South,115,2021,5,Tuas South_115_202105.csv
Jurong Island,117,2013,10,Jurong Island_117_201310.csv
Upper Peirce Reservoir,69,2012,12,Upper Peirce Reservoir_69_201212.csv
Queenstown,77,2023,7,Queenstown_77_202307.csv
Marina Barrage,108,2020,5,Marina Barrage_108_202005.csv
Lower Peirce Reservoir,08,2015,5,Lower Peirce Reservoir_08_201505.csv
Tanjong Katong,78,2020,3,Tanjong Katong_78_202003.csv
Jurong (West),44,2022,5,Jurong (West)_44_202205.csv
Marina Barrage,108,2014,3,Marina Barrage_108_201403.csv
Pasir Ris (Central),94,2017,1,Pasir Ris (Central)_94_201701.csv
East Coast Parkway,107,2020,1,East Coast Parkway_107_202001.csv
Lim Chu Kang,112,2015,10,Lim Chu Kang_112_201510.csv
Tanjong Katong,78,2023,2,Tanjong Katong_78_202302.csv
Buona Vista,92,2020,12,Buona Vista_92_202012.csv
Admiralty West,105,2016,1,Admiralty West_105_201601.csv
Somerset (Road),79,2023,11,Somerset (Road)_79_202311.csv
Choa Chu Kang (Central),114,2013,9,Choa Chu Kang (Central)_114_201309.csv
Botanic Garden,120,2013,9,Botanic Garden_120_201309.csv
Semakau Island,102,2017,2,Semakau Island_102_201702.csv
Kampong Bahru,31,2015,11,Kampong Bahru_31_201511.csv
Pasir Panjang,116,2014,9,Pasir Panjang_116_201409.csv
Somerset (Road),79,2021,12,Somerset (Road)_79_202112.csv
Dhoby Ghaut,118,2019,8,Dhoby Ghaut_118_201908.csv
Pulau Ubin,106,2016,6,Pulau Ubin_106_201606.csv
Lim Chu Kang,112,2016,3,Lim Chu Kang_112_201603.csv
Semakau Island,102,2018,6,Semakau Island_102_201806.csv
Punggol,81,2020,10,Punggol_81_202010.csv
Pasir Ris (Central),94,2018,6,Pasir Ris (Central)_94_201806.csv
Simei,84,2015,1,Simei_84_201501.csv
Tanjong Pagar,72,2014,8,Tanjong Pagar_72_201408.csv
Lim Chu Kang,112,2018,12,Lim Chu Kang_112_201812.csv
Chai Chee,61,2016,2,Chai Chee_61_201602.csv
Whampoa,123,2020,12,Whampoa_123_202012.csv
Simei,84,2023,5,Simei_84_202305.csv
Newton,111,2012,3,Newton_111_201203.csv
Lim Chu Kang,112,2017,6,Lim Chu Kang_112_201706.csv
Sentosa Island,60,2022,10,Sentosa Island_60_202210.csv
Dhoby Ghaut,118,2018,12,Dhoby Ghaut_118_201812.csv
Tuas South,115,2024,5,Tuas South_115_202405.csv
Upper Peirce Reservoir,69,2024,2,Upper Peirce Reservoir_69_202402.csv
Kranji Reservoir,66,2014,1,Kranji Reservoir_66_201401.csv
Tanjong Pagar,72,2013,5,Tanjong Pagar_72_201305.csv
Seletar,25,2020,9,Seletar_25_202009.csv
Clementi,50,2020,7,Clementi_50_202007.csv
Tanjong Pagar,72,2012,9,Tanjong Pagar_72_201209.csv
Admiralty,104,2014,6,Admiralty_104_201406.csv
Queenstown,77,2016,11,Queenstown_77_201611.csv
Upper Peirce Reservoir,69,2023,8,Upper Peirce Reservoir_69_202308.csv
Choa Chu Kang (West),11,2013,9,Choa Chu Kang (West)_11_201309.csv
Choa Chu Kang (South),121,2016,11,Choa Chu Kang (South)_121_201611.csv
Buangkok,55,2015,12,Buangkok_55_201512.csv
Ang Mo Kio,109,2016,5,Ang Mo Kio_109_201605.csv
Pasir Ris (Central),94,2018,1,Pasir Ris (Central)_94_201801.csv
Nicoll Highway,119,2014,5,Nicoll Highway_119_201405.csv
Sentosa Island,60,2012,8,Sentosa Island_60_201208.csv
Upper Peirce Reservoir,69,2012,1,Upper Peirce Reservoir_69_201201.csv
Kranji Reservoir,66,2021,4,Kranji Reservoir_66_202104.csv
Ulu Pandan,35,2020,1,Ulu Pandan_35_202001.csv
Jurong (East),39,2012,1,Jurong (East)_39_201201.csv
Newton,111,2021,4,Newton_111_202104.csv
Admiralty,104,2023,6,Admiralty_104_202306.csv
Pasir Ris (West),29,2017,7,Pasir Ris (West)_29_201707.csv
Pasir Panjang,116,2014,12,Pasir Panjang_116_201412.csv
Tengah,23,2012,8,Tengah_23_201208.csv
Marine Parade,113,2012,10,Marine Parade_113_201210.csv
Yishun,91,2015,8,Yishun_91_201508.csv
Nicoll Highway,119,2022,8,Nicoll Highway_119_202208.csv
Sentosa Island,60,2023,3,Sentosa Island_60_202303.csv
Tai Seng,43,2018,2,Tai Seng_43_201802.csv
Upper Peirce Reservoir,69,2015,7,Upper Peirce Reservoir_69_201507.csv
Seletar,25,2018,9,Seletar_25_201809.csv
Chai Chee,61,2021,8,Chai Chee_61_202108.csv
Tengah,23,2013,1,Tengah_23_201301.csv
Botanic Garden,120,2012,9,Botanic Garden_120_201209.csv
Punggol,81,2015,8,Punggol_81_201508.csv
Macritchie Reservoir,07,2020,12,Macritchie Reservoir_07_202012.csv
Ang Mo Kio,109,2013,10,Ang Mo Kio_109_201310.csv
Jurong Island,117,2012,12,Jurong Island_117_201212.csv
Botanic Garden,120,2013,11,Botanic Garden_120_201311.csv
Pulau Ubin,106,2023,9,Pulau Ubin_106_202309.csv
Lower Peirce Reservoir,08,2017,2,Lower Peirce Reservoir_08_201702.csv
Tuas,89,2024,6,Tuas_89_202406.csv
Khatib,122,2013,4,Khatib_122_201304.csv
Choa Chu Kang (Central),114,2020,11,Choa Chu Kang (Central)_114_202011.csv
Buona Vista,92,2017,10,Buona Vista_92_201710.csv
Yishun,91,2018,4,Yishun_91_201804.csv
Choa Chu Kang (Central),114,2021,2,Choa Chu Kang (Central)_114_202102.csv
Bukit Panjang,64,2014,3,Bukit Panjang_64_201403.csv
Choa Chu Kang (Central),114,2015,9,Choa Chu Kang (Central)_114_201509.csv
Newton,111,2019,6,Newton_111_201906.csv
Serangoon,36,2023,5,Serangoon_36_202305.csv
Macritchie Reservoir,07,2019,6,Macritchie Reservoir_07_201906.csv
Somerset (Road),79,2019,6,Somerset (Road)_79_201906.csv
Pasir Ris (Central),94,2021,5,Pasir Ris (Central)_94_202105.csv
Admiralty West,105,2012,5,Admiralty West_105_201205.csv
Chai Chee,61,2022,10,Chai Chee_61_202210.csv
Kent Ridge,71,2019,2,Kent Ridge_71_201902.csv
Choa Chu Kang (Central),114,2013,1,Choa Chu Kang (Central)_114_201301.csv
Marine Parade,113,2018,4,Marine Parade_113_201804.csv
Tuas,89,2021,7,Tuas_89_202107.csv
Newton,111,2021,2,Newton_111_202102.csv
Tuas,89,2015,11,Tuas_89_201511.csv
Pasir Ris (Central),94,2016,10,Pasir Ris (Central)_94_201610.csv
Pulau Ubin,106,2023,10,Pulau Ubin_106_202310.csv
Upper Thomson,46,2020,6,Upper Thomson_46_202006.csv
Whampoa,123,2014,10,Whampoa_123_201410.csv
Choa Chu Kang (West),11,2014,6,Choa Chu Kang (West)_11_201406.csv
Toa Payoh,88,2019,2,Toa Payoh_88_201902.csv
Buangkok,55,2013,6,Buangkok_55_201306.csv
Pasir Panjang,116,2012,5,Pasir Panjang_116_201205.csv
Clementi,50,2012,10,Clementi_50_201210.csv
Semakau Island,102,2016,6,Semakau Island_102_201606.csv
Boon Lay (West),63,2014,7,Boon Lay (West)_63_201407.csv
Buona Vista,92,2018,2,Buona Vista_92_201802.csv
Punggol,81,2014,6,Punggol_81_201406.csv
Seletar,25,2017,11,Seletar_25_201711.csv
Serangoon,36,2021,7,Serangoon_36_202107.csv
Admiralty,104,2020,7,Admiralty_104_202007.csv
Choa Chu Kang (Central),114,2020,5,Choa Chu Kang (Central)_114_202005.csv
Nicoll Highway,119,2020,8,Nicoll Highway_119_202008.csv
Simei,84,2019,6,Simei_84_201906.csv
Buona Vista,92,2018,3,Buona Vista_92_201803.csv
Marine Parade,113,2019,9,Marine Parade_113_201909.csv
Chai Chee,61,2016,8,Chai Chee_61_201608.csv
Admiralty,104,2018,2,Admiralty_104_201802.csv
Yishun,91,2013,1,Yishun_91_201301.csv
Bukit Timah,90,2016,4,Bukit Timah_90_201604.csv
Pasir Panjang,116,2022,7,Pasir Panjang_116_202207.csv
Pasir Ris (Central),94,2023,12,Pasir Ris (Central)_94_202312.csv
Tuas West,82,2012,6,Tuas West_82_201206.csv
Jurong (West),44,2012,12,Jurong (West)_44_201212.csv
Jurong (North),101,2012,1,Jurong (North)_101_201201.csv
Admiralty,104,2019,7,Admiralty_104_201907.csv
Pasir Ris (West),29,2012,5,Pasir Ris (West)_29_201205.csv
Tengah,23,2014,5,Tengah_23_201405.csv
Tuas,89,2014,2,Tuas_89_201402.csv
Tengah,23,2020,11,Tengah_23_202011.csv
Pasir Panjang,116,2021,1,Pasir Panjang_116_202101.csv
Toa Payoh,88,2013,1,Toa Payoh_88_201301.csv
Serangoon North,110,2014,4,Serangoon North_110_201404.csv
Whampoa,123,2022,2,Whampoa_123_202202.csv
Jurong Island,117,2018,5,Jurong Island_117_201805.csv
Sentosa Island,60,2014,12,Sentosa Island_60_201412.csv
Seletar,25,2017,8,Seletar_25_201708.csv
Jurong (West),44,2019,7,Jurong (West)_44_201907.csv
Tanjong Pagar,72,2014,5,Tanjong Pagar_72_201405.csv
Upper Thomson,46,2018,8,Upper Thomson_46_201808.csv
Sentosa Island,60,2020,9,Sentosa Island_60_202009.csv
Ulu Pandan,35,2020,6,Ulu Pandan_35_202006.csv
Choa Chu Kang (South),121,2017,8,Choa Chu Kang (South)_121_201708.csv
Pasir Ris (West),29,2019,9,Pasir Ris (West)_29_201909.csv
Marine Parade,113,2018,3,Marine Parade_113_201803.csv
Nicoll Highway,119,2023,6,Nicoll Highway_119_202306.csv
Upper Peirce Reservoir,69,2014,11,Upper Peirce Reservoir_69_201411.csv
Toa Payoh,88,2019,7,Toa Payoh_88_201907.csv
Boon Lay (West),63,2013,4,Boon Lay (West)_63_201304.csv
Pasir Ris (West),29,2021,6,Pasir Ris (West)_29_202106.csv
Tengah,23,2017,4,Tengah_23_201704.csv
Queenstown,77,2018,3,Queenstown_77_201803.csv
Kent Ridge,71,2020,7,Kent Ridge_71_202007.csv
Macritchie Reservoir,07,2018,5,Macritchie Reservoir_07_201805.csv
Somerset (Road),79,2019,1,Somerset (Road)_79_201901.csv
Mandai,40,2013,12,Mandai_40_201312.csv
Khatib,122,2021,11,Khatib_122_202111.csv
Chai Chee,61,2021,10,Chai Chee_61_202110.csv
Changi Climate Station,24,2015,12,Changi Climate Station_24_201512.csv
Tuas South,115,2017,12,Tuas South_115_201712.csv
Tuas West,82,2013,1,Tuas West_82_201301.csv
Queenstown,77,2014,10,Queenstown_77_201410.csv
Upper Thomson,46,2019,5,Upper Thomson_46_201905.csv
Tuas South,115,2021,11,Tuas South_115_202111.csv
Tuas South,115,2022,5,Tuas South_115_202205.csv
Pasir Ris (West),29,2014,7,Pasir Ris (West)_29_201407.csv
Tuas West,82,2013,11,Tuas West_82_201311.csv
Toa Payoh,88,2014,12,Toa Payoh_88_201412.csv
Buona Vista,92,2016,2,Buona Vista_92_201602.csv
Marina Barrage,108,2013,12,Marina Barrage_108_201312.csv
Lim Chu Kang,112,2014,5,Lim Chu Kang_112_201405.csv
Tai Seng,43,2016,1,Tai Seng_43_201601.csv
Bukit Panjang,64,2016,7,Bukit Panjang_64_201607.csv
Serangoon,36,2015,11,Serangoon_36_201511.csv
Boon Lay (East),86,2013,7,Boon Lay (East)_86_201307.csv
Semakau Island,102,2015,4,Semakau Island_102_201504.csv
Tai Seng,43,2023,4,Tai Seng_43_202304.csv
Tai Seng,43,2020,7,Tai Seng_43_202007.csv
Upper Thomson,46,2012,2,Upper Thomson_46_201202.csv
Choa Chu Kang (West),11,2012,8,Choa Chu Kang (West)_11_201208.csv
Ang Mo Kio,109,2018,6,Ang Mo Kio_109_201806.csv
Choa Chu Kang (South),121,2023,8,Choa Chu Kang (South)_121_202308.csv
Semakau Island,102,2023,3,Semakau Island_102_202303.csv
Tuas South,115,2022,6,Tuas South_115_202206.csv
Upper Peirce Reservoir,69,2021,4,Upper Peirce Reservoir_69_202104.csv
Jurong (North),101,2013,4,Jurong (North)_101_201304.csv
Jurong (North),101,2020,4,Jurong (North)_101_202004.csv
East Coast Parkway,107,2021,12,East Coast Parkway_107_202112.csv
Whampoa,123,2019,8,Whampoa_123_201908.csv
Tuas,89,2017,6,Tuas_89_201706.csv
Marina Barrage,108,2023,12,Marina Barrage_108_202312.csv
Buangkok,55,2014,1,Buangkok_55_201401.csv
Buona Vista,92,2021,7,Buona Vista_92_202107.csv
Bukit Timah,90,2014,5,Bukit Timah_90_201405.csv
Tuas West,82,2013,3,Tuas West_82_201303.csv
Choa Chu Kang (West),11,2021,8,Choa Chu Kang (West)_11_202108.csv
Tanjong Katong,78,2021,10,Tanjong Katong_78_202110.csv
Nicoll Highway,119,2014,4,Nicoll Highway_119_201404.csv
Kranji Reservoir,66,2016,3,Kranji Reservoir_66_201603.csv
Tuas,89,2023,4,Tuas_89_202304.csv
Sentosa Island,60,2014,7,Sentosa Island_60_201407.csv
Upper Thomson,46,2013,8,Upper Thomson_46_201308.csv
Lower Peirce Reservoir,08,2020,9,Lower Peirce Reservoir_08_202009.csv
Queenstown,77,2013,2,Queenstown_77_201302.csv
Chai Chee,61,2012,9,Chai Chee_61_201209.csv
Kent Ridge,71,2024,5,Kent Ridge_71_202405.csv
Toa Payoh,88,2020,12,Toa Payoh_88_202012.csv
Changi Climate Station,24,2013,7,Changi Climate Station_24_201307.csv
Admiralty West,105,2013,6,Admiralty West_105_201306.csv
Upper Thomson,46,2016,8,Upper Thomson_46_201608.csv
Simei,84,2013,7,Simei_84_201307.csv
Choa Chu Kang (Central),114,2021,4,Choa Chu Kang (Central)_114_202104.csv
Jurong (West),44,2017,10,Jurong (West)_44_201710.csv
Tengah,23,2021,6,Tengah_23_202106.csv
Choa Chu Kang (Central),114,2012,11,Choa Chu Kang (Central)_114_201211.csv
Queenstown,77,2023,6,Queenstown_77_202306.csv
Marine Parade,113,2022,7,Marine Parade_113_202207.csv
Botanic Garden,120,2017,12,Botanic Garden_120_201712.csv
Tuas West,82,2018,12,Tuas West_82_201812.csv
Kampong Bahru,31,2012,11,Kampong Bahru_31_201211.csv
Pasir Ris (West),29,2024,5,Pasir Ris (West)_29_202405.csv
Lim Chu Kang,112,2018,3,Lim Chu Kang_112_201803.csv
Somerset (Road),79,2018,11,Somerset (Road)_79_201811.csv
Dhoby Ghaut,118,2013,3,Dhoby Ghaut_118_201303.csv
Sentosa Island,60,2021,5,Sentosa Island_60_202105.csv
Somerset (Road),79,2018,7,Somerset (Road)_79_201807.csv
Clementi,50,2022,4,Clementi_50_202204.csv
Nicoll Highway,119,2017,6,Nicoll Highway_119_201706.csv
Jurong (North),101,2017,7,Jurong (North)_101_201707.csv
Semakau Island,102,2013,9,Semakau Island_102_201309.csv
Changi Climate Station,24,2012,4,Changi Climate Station_24_201204.csv
Newton,111,2023,6,Newton_111_202306.csv
Queenstown,77,2018,4,Queenstown_77_201804.csv
Lim Chu Kang,112,2023,6,Lim Chu Kang_112_202306.csv
Semakau Island,102,2019,3,Semakau Island_102_201903.csv
Boon Lay (East),86,2013,8,Boon Lay (East)_86_201308.csv
Kranji Reservoir,66,2020,8,Kranji Reservoir_66_202008.csv
Jurong Island,117,2024,4,Jurong Island_117_202404.csv
Toa Payoh,88,2013,5,Toa Payoh_88_201305.csv
East Coast Parkway,107,2014,12,East Coast Parkway_107_201412.csv
Jurong (North),101,2017,4,Jurong (North)_101_201704.csv
Tuas,89,2017,9,Tuas_89_201709.csv
Sentosa Island,60,2022,9,Sentosa Island_60_202209.csv
Buona Vista,92,2015,6,Buona Vista_92_201506.csv
Kampong Bahru,31,2015,1,Kampong Bahru_31_201501.csv
Jurong (West),44,2019,3,Jurong (West)_44_201903.csv
Marina Barrage,108,2015,12,Marina Barrage_108_201512.csv
Whampoa,123,2018,4,Whampoa_123_201804.csv
Pulau Ubin,106,2012,5,Pulau Ubin_106_201205.csv
Tuas,89,2017,11,Tuas_89_201711.csv
Punggol,81,2020,6,Punggol_81_202006.csv
Kent Ridge,71,2012,1,Kent Ridge_71_201201.csv
Buona Vista,92,2018,7,Buona Vista_92_201807.csv
Jurong (North),101,2018,2,Jurong (North)_101_201802.csv
Upper Thomson,46,2017,7,Upper Thomson_46_201707.csv
Choa Chu Kang (West),11,2016,2,Choa Chu Kang (West)_11_201602.csv
Buangkok,55,2016,7,Buangkok_55_201607.csv
Whampoa,123,2016,7,Whampoa_123_201607.csv
Tanjong Katong,78,2013,3,Tanjong Katong_78_201303.csv
