location,station_ID,year,month,filename
Macritchie Reservoir,07,2015,11,Macritchie Reservoir_07_201511.csv
Tanjong Pagar,72,2014,4,Tanjong Pagar_72_201404.csv
Serangoon,36,2016,11,Serangoon_36_201611.csv
Admiralty,104,2013,4,Admiralty_104_201304.csv
Queenstown,77,2022,12,Queenstown_77_202212.csv
Tuas West,82,2022,3,Tuas West_82_202203.csv
Admiralty West,105,2019,11,Admiralty West_105_201911.csv
Bukit Panjang,64,2022,2,Bukit Panjang_64_202202.csv
Kranji Reservoir,66,2024,1,Kranji Reservoir_66_202401.csv
Macritchie Reservoir,07,2022,12,Macritchie Reservoir_07_202212.csv
Lim Chu Kang,112,2023,5,Lim Chu Kang_112_202305.csv
Serangoon,36,2018,10,Serangoon_36_201810.csv
Botanic Garden,120,2019,3,Botanic Garden_120_201903.csv
Admiralty,104,2013,5,Admiralty_104_201305.csv
Chai Chee,61,2019,12,Chai Chee_61_201912.csv
Botanic Garden,120,2017,3,Botanic Garden_120_201703.csv
Changi Climate Station,24,2013,1,Changi Climate Station_24_201301.csv
Pasir Ris (West),29,2016,6,Pasir Ris (West)_29_201606.csv
Macritchie Reservoir,07,2022,2,Macritchie Reservoir_07_202202.csv
Choa Chu Kang (West),11,2016,6,Choa Chu Kang (West)_11_201606.csv
Pasir Ris (Central),94,2019,7,Pasir Ris (Central)_94_201907.csv
Upper Thomson,46,2015,2,Upper Thomson_46_201502.csv
Jurong Island,117,2016,8,Jurong Island_117_201608.csv
Jurong Island,117,2019,4,Jurong Island_117_201904.csv
Tuas South,115,2014,4,Tuas South_115_201404.csv
Choa Chu Kang (West),11,2018,3,Choa Chu Kang (West)_11_201803.csv
Admiralty,104,2017,3,Admiralty_104_201703.csv
Choa Chu Kang (West),11,2017,6,Choa Chu Kang (West)_11_201706.csv
Ulu Pandan,35,2022,5,Ulu Pandan_35_202205.csv
Upper Thomson,46,2012,8,Upper Thomson_46_201208.csv
Marina Barrage,108,2019,11,Marina Barrage_108_201911.csv
Tuas,89,2017,4,Tuas_89_201704.csv
Tengah,23,2024,6,Tengah_23_202406.csv
